"gene_name","original_name","ENTREZ"
"GRM8","GRM8","2918"
"RIPPLY3","RIPPLY3/DSCR6","53820"
"HSPA13","HSPA13/STCH","6782"
"NR4A1","NURR77/NR4A1","3164"
"SIK1","SIK1/SNF1LK","150094"
"GABRA2","GABRA2","2555"
"GRM7","GRM7","2917"
"CLTC","CLTC","1213"
"TGM1","TGM1/TGMI","7051"
"CHRNA4","CHRNA4","1137"
"A2M","A2M","2"
"UMODL1","UMODL1","89766"
"HSPA8","HSPA8/HSC70","3312"
"GNAS","GNAS/GNAS1","2778"
"UBE2G2","UBE2G2","7327"
"HLCS","HLCS","3141"
"ARC","ARC","23237"
"PRDM15","PRDM15","63977"
"SUMO3","SUMO3","6612"
"IL10RB","IL10RB","3588"
"CALR3","CALR3","125972"
"ADCY9","ADCY9","115"
"NCSTN","NCSTN","23385"
"IGSF5","IGSF5","150084"
"RPS19BP1","RPS19BP1","91582"
"SPRY2","SPRY2","10253"
"DPP10","DPP10","57628"
"GRIA4","GRIA4","2893"
"NRP1","NRP1/NRP","8829"
"GHR","GHR","2690"
"FBP1","FBP1","2203"
"GABARAP","GABARAP","11337"
"DPP6","DPP6","1804"
"ADAM17","ADAM17","6868"
"MBD2","MBD2","8932"
"CST3","CST3/CSTC","1471"
"ADAMTS1","ADAMTS1","9510"
"PENK","PENK","5179"
"MYO5B","MYO5B","4645"
"COMT","COMT","1312"
"FAS","FAS/FASLR","355"
"MBD3","MBD3","53615"
"APBB1","APBB1","322"
"CNTF","CNTF","1270"
"CLCN7","CLCN7","1186"
"NMNAT3","Nmnat3","349565"
"SORT1","SORT1","6272"
"RUNX1-IT1","RUNX1-IT1/C21ORF96","80215"
"PRKCA","PRKCA","5578"
"SLC19A1","SLC19A1","6573"
"ITGB2","ITGB2","3689"
"C21orf91","C21ORF91","54149"
"TMEM50B","TMEM50B/C21ORF4","757"
"NTN1","NTN1","9423"
"ITPKA","ITPKA","3706"
"PPP1CA","PPP1CA","5499"
"DYNC1H1","DYNC1H1/DNCH1","1778"
"DCX","DCX","1641"
"LAMA2","LAMA2","3908"
"CLCN6","CLCN6","1185"
"ATF4","ATF4","468"
"SLC1A3","SLC1A3/EAAT1","6507"
"FYN","FYN","2534"
"SIRT4","SIRT4","23409"
"TCP10L","TCP10L","140290"
"CYP17A1","CYP17A1/CYP17","1586"
"C2CD2","C2CD2/C21ORF25","25966"
"PIGP","PIGP/DSCR5","51227"
"CASP9","CASP9","842"
"NEFH","NEFH","4744"
"MYO5A","MYO5A","4644"
"PRKCB","PRKCB/PRKCB1","5579"
"HCRTR1","Hcrtr1/Hcrtr2","3061"
"HCRTR2","Hcrtr1/Hcrtr2","3062"
"NGFR","NGFR/TNFR","4804"
"DNAJC28","DNAJC28/C21ORF55","54943"
"CTSZ","CTSZ","1522"
"POLR2C","POLR2C","5432"
"GABBR1","GABBR1","2550"
"ACSS2","ACSS2","55902"
"TRPM2","TRPM2","7226"
"PRKAG3","PRKAG3","53632"
"DIP2A","DIP2A","23181"
"NR3C2","NR3C2","4306"
"CHODL-AS1","CHODL-AS1/C21ORF39","54075"
"SYN3","SYN3","8224"
"EGR2","EGR2","1959"
"SIRT5","SIRT5","23408"
"SLIT1","SLIT1","6585"
"NCOA1","NCOA1","8648"
"ELAVL4","ELAVL4","1996"
"DYNC2H1","DYNC2H1/DNCH2","79659"
"ARHGDIB","ARHGDIB","397"
"IGF1R","IGF1R/IGFIR/IGFR1","3480"
"SLC6A4","SLC6A4/SERT","6532"
"STX1A","STX1A/STX1","6804"
"USP7","USP7","7874"
"SYN1","SYN1","6853"
"CHRM5","CHRM5","1133"
"ITPKC","ITPKC","80271"
"HSF2BP","HSF2BP","11077"
"GRM5","GRM5","2915"
"GPLD1","GPLD1","2822"
"CYP11A1","CYP11A1","1583"
"APLP2","APLP2","334"
"VLDLR","VLDLR","7436"
"ADCY3","ADCY3","109"
"CSNK2A1","CSNK2A1","1457"
"PSMG1","PSMG1/DSCR2","8624"
"AKR1C3","AKR1C3","8644"
"GADD45A","GADD45A/GADD45","1647"
"SSBP1","SSBP1","6742"
"DNAJA1","DNAJA1","3301"
"CIT","CIT","11113"
"PDYN","PDYN","5173"
"M6PR","M6PR/CDMPR","4074"
"AP1S1","AP1S1","1174"
"PIWIL1","PIWIL1","9271"
"ITSN1","ITSN1","6453"
"PRKAA2","PRKAA2","5563"
"ASTN2","ASTN2","23245"
"PEX5","PEX5","5830"
"PRKCI","PRKCI","5584"
"CTSC","CTSC","1075"
"FAAH","FAAH","2166"
"PDXK","PDXK","8566"
"CRHR1","CRHR1","1394"
"RHEB","RHEB/RHEB2","6009"
"ITPR1","ITPR1","3708"
"SLC6A11","SLC6A11/GAT4","6538"
"MAPK8","MAPK8","5599"
"HMGN1","HMGN1","3150"
"GLRA3","GLRA3","8001"
"SNCG","SNCG","6623"
"CACNA1C","CACNA1C","775"
"RGS1","RGS1","5996"
"IFNAR2","IFNAR2","3455"
"FOSB","FOSB","2354"
"RAB11B","RAB11B","9230"
"DUSP4","DUSP4","1846"
"SIRT2","SIRT2","22933"
"RGS7","RGS7","6000"
"MAPK9","MAPK9","5601"
"LAMP1","LAMP1","3916"
"NPY1R","NPY1R","4886"
"COX4I1","Cox4i1","1327"
"PDE9A","PDE9A","5152"
"GRIK1","GRIK1","2897"
"DDX1","DDX1","1653"
"SIRT1","SIRT1","23411"
"RPS6KB1","RPS6KB1","6198"
"CNR2","CNR2","1269"
"TMPRSS3","TMPRSS3","64699"
"IFNGR2","IFNGR2","3460"
"FLNA","FLNA","2316"
"SLC6A13","SLC6A13/GAT3","6540"
"BACE2","BACE2","25825"
"TSC1","TSC1","7248"
"PAFAH1B1","PAFAH1B1/LIS1","5048"
"HDAC6","HDAC6","10013"
"OLIG2","OLIG2","10215"
"EPAS1","EPAS1","2034"
"JAM2","JAM2","58494"
"APPL1","APPL1","26060"
"UCP2","UCP2","7351"
"NRIP1","NRIP1","8204"
"CTSG","CTSG","1511"
"MAP2","MAP2","4133"
"EPHA2","EPHA2","1969"
"CREBBP","CREBBP","1387"
"ATF5","ATF5","22809"
"EIF2AK2","EIF2AK2/PRKR","5610"
"CHODL","CHODL","140578"
"SLC6A2","SLC6A2/NET","6530"
"CHAF1B","CHAF1B","8208"
"TPTE","TPTE","7179"
"SNAP29","SNAP29","9342"
"DAB1","DAB1","1600"
"PWP2","PWP2","5822"
"SESN1","SESN1","27244"
"DLX1","DLX1","1745"
"SIRT6","SIRT6","51548"
"GABRG1","GABRG1","2565"
"CSF1","CSF1","1435"
"BAK1","BAK1","578"
"TRAPPC10","TRAPPC10/TMEM1","7109"
"DNMT3L","DNMT3L","29947"
"PTTG1IP","PTTG1IP","754"
"KCNIP3","KCNIP3","30818"
"GNAZ","GNAZ","2781"
"GLUD1","GLUD1","2746"
"PTEN","PTEN","5728"
"SAA4","SAA4","6291"
"CAV1","CAV1","857"
"GNAT2","GNAT2","2780"
"SESN3","SESN3","143686"
"ELAVL2","ELAVL2","1993"
"CALB2","CALB2","794"
"MAPT","MAPT","4137"
"AKAP1","AKAP1","8165"
"LEPR","LEPR","3953"
"DONSON","DONSON","29980"
"DYNLL1","DYNLL1/DNCLC1","8655"
"XRCC6","XRCC6","2547"
"AFP","AFP","174"
"CSNK2B","CSNK2B","1460"
"MCM3AP","MCM3AP","8888"
"HMGCS1","HMGCS1","3157"
"DNMT1","DNMT1","1786"
"DLG3","DLG3","1741"
"PRKAG1","PRKAG1","5571"
"CCAR2","CCAR2","57805"
"CXADR","CXADR","1525"
"CTSE","CTSE","1510"
"DSCAM","DSCAM","1826"
"ICOSLG","ICOSLG","23308"
"URB1","URB1/C21ORF108","9875"
"NRG1","NRG1","3084"
"DRD2","DRD2","1813"
"GABRG3","GABRG3","2567"
"ERN1","ERN1","2081"
"ATG5","ATG5","9474"
"ADAM10","ADAM10","102"
"ARMCX2","ARMCX2","9823"
"EEA1","EEA1","8411"
"APOE","APOE","348"
"CDH2","CDH2","1000"
"RGS9","RGS9","8787"
"BECN1","BECN1/BECN","8678"
"GAD1","GAD1/GAD67","2571"
"CARM1","CARM1","10498"
"IL1B","IL1B","3553"
"GABARAPL1","GABARAPL1","23710"
"RBL2","RBL2","5934"
"AP1G1","AP1G1","164"
"LIPA","LIPA","3988"
"ACSS1","ACSS1","84532"
"GNA11","GNA11/GNAL11","2767"
"ADARB1","ADARB1/RED1","104"
"MAPK13","MAPK13/SAPK4","5603"
"ZBTB21","ZBTB21/ZNF295","49854"
"TSC2","TSC2","7249"
"GFAP","GFAP","2670"
"DUSP5","DUSP5","1847"
"MAPK3","MAPK3/ERK1","5595"
"RAB1A","RAB1A","5861"
"AIRE","AIRE","326"
"U2AF1","U2AF1","7307"
"CRH","CRH","1392"
"HSPA5","HSPA5/BIP","3309"
"IL6","IL6","3569"
"PPM1G","PPM1G/PPP2CG","5496"
"USP8","USP8","9101"
"COL6A1","COL6A1","1291"
"IAPP","IAPP","3375"
"USP25","USP25","29761"
"DUSP1","DUSP1/MKP-1","1843"
"PPP2R1A","PPP2R1A","5518"
"TTC3","TTC3","7267"
"KCNIP1","KCNIP1/KCNIP","30820"
"ADRA2A","ADRA2A","150"
"BSN","BSN","8927"
"ATG4C","ATG4C","84938"
"CAMK2A","CAMK2A","815"
"B3GALT4","B3GALT4","8705"
"TIMP1","TIMP1","7076"
"TP53","TP53","7157"
"SLC1A2","SLC1A2/EAAT2","6506"
"POTED","POTED/ANDRK21","317754"
"DDX10","DDX10","1662"
"SIRT3","SIRT3","23410"
"FRK","FRK","2444"
"CYYR1","CYYR1","116159"
"DRD3","DRD3","1814"
"C21orf62","C21ORF62","56245"
"CSTB","CSTB","1476"
"PFKP","PFKP","5214"
"MLH1","MLH1","4292"
"AIFM1","AIFM1/PCD8","9131"
"NMNAT1","Nmnat1","64802"
"CLDN8","CLDN8","9073"
"ETS2","ETS2","2114"
"KCNA2","KCNA2","3737"
"CLCN5","CLCN5","1184"
"NR3C1","NR3C1","2908"
"N6AMT1","N6AMT1/C21ORF127","29104"
"CCNB1","CCNB1","891"
"PTPN12","PTPN12","5782"
"MAPK1","MAPK1/ERK2","5594"
"CACNA1B","CACNA1B","774"
"BCL2L11","Bcl2l11","10018"
"TMPRSS2","TMPRSS2","7113"
"SIRT7","SIRT7","51547"
"DYRK3","DYRK3","8444"
"RGS13","RGS13","6003"
"GRIK1-AS2","GRIK1-AS2/C21ORF41","100379661"
"GHSR","GHSR","2693"
"MAPK12","MAPK12/SAPK3","6300"
"DISC1","DISC1","27185"
"IFNAR1","IFNAR1","3454"
"KCND3","KCND3","3752"
"PRKAG2","PRKAG2","51422"
"RGS16","RGS16","6004"
"GABRA1","GABRA1","2554"
"PKNOX1","PKNOX1","5316"
"CAV3","CAV3","859"
"ATG7","ATG7","10533"
"FOXO1","Foxo1","2308"
"CCT8","CCT8","10694"
"MAP3K7CL","MAP3K7CL/C21ORF7","56911"
"SNRNP70","SNRNP70","6625"
"MECP2","MECP2","4204"
"GRM2","GRM2","2912"
"CHAT","CHAT","1103"
"PSENEN","PSENEN","55851"
"TGM2","TGM2","7052"
"MX2","MX2","4600"
"FASN","FASN","2194"
"JUN","JUN/CJUN","3725"
"ERG","ERG","2078"
"EPYC","EPYC/DSPG3","1833"
"ESR1","ESR1","2099"
"RGS10","RGS10","6001"
"HDAC2","HDAC2","3066"
"RIPK4","RIPK4/ANKRD3","54101"
"LINC00113","LINC00113/C21ORF23","54088"
"HDAC1","HDAC1","3065"
"GRIA3","GRIA3","2892"
"CSNK1A1","CSNK1A1","1452"
"CCND1","CCND1","595"
"PPT1","PPT1","5538"
"ATP6V0A1","ATP6V0A1/VPP1","535"
"B2M","B2M","567"
"GRIK3","GRIK3","2899"
"MME","MME/NEP","4311"
"PRKAB1","PRKAB1","5564"
"CHRM2","CHRM2","1129"
"LRP1","LRP1","4035"
"GABRB1","GABRB1","2560"
"CLDN14","CLDN14","23562"
"SMIM11","SMIM11/C21ORF51","54065"
"LIAS","LIAS/LIP1","11019"
"GH1","GH1","2688"
"BAD","BAD","572"
"NES","NES","10763"
"RAB10","RAB10","10890"
"SLC2A3","SLC2A3","6515"
"POFUT2","POFUT2","23275"
"NCOR2","NCOR2","9612"
"HIC1","HIC1","3090"
"PTK2B","PTK2B","2185"
"HSP90AA1","HSP90AA1","3320"
"EMX2","EMX2","2018"
"DYRK1A","DYRK1A","1859"
"AGER","AGER","177"
"BTG3","BTG3","10950"
"NPEPPS","NPEPPS/PSA","9520"
"SLC5A3","SLC5A3","6526"
"SORL1","SORL1","6653"
"AQP1","AQP1","358"
"CSNK2A2","CSNK2A2","1459"
"KCNJ15","KCNJ15","3772"
"AR","AR","367"
"RARB","RARB","5915"
"LEP","LEP","3952"
"GRM4","GRM4","2914"
"SIM2","SIM2","6493"
"RGS12","RGS12","6002"
"TFF3","TFF3","7033"
"SLC2A4","SLC2A4","6517"
"MAP1LC3A","MAP1LC3A","84557"
"SERPINA3","SERPINA3/ACT","12"
"HTT","HTT/HD","3064"
"CRYAA","CRYAA","1409"
"TBR1","TBR1","10716"
"NEFL","NEFL","4747"
"PRNP","PRNP","5621"
"KRAS","KRAS/RAS","3845"
"PFKM","PFKM","5213"
"MSR1","MSR1","4481"
"GRIN1","GRIN1","2902"
"CRYZL1","CRYZL1","9946"
"NOS1","NOS1","4842"
"IGF2","IGF2","3481"
"MBP","MBP","4155"
"SLC37A1","SLC37A1","54020"
"NEFM","NEFM/NEF3","4741"
"RAB4A","RAB4A","5867"
"APP","APP/ABPP","351"
"HDLBP","HDLBP","3069"
"KCNA1","KCNA1","3736"
"MORC3","MORC3/ZCWCC3","23515"
"TRADD","TRADD","8717"
"SORCS2","SORCS2","57537"
"SLC2A1","SLC2A1","6513"
"STARD3","STARD3","10948"
"ADCY4","ADCY4","196883"
"SORCS1","SORCS1","114815"
"NCOA3","NCOA3","8202"
"RAB7A","RAB7A","7879"
"FMR1","FMR1","2332"
"COL6A2","COL6A2","1292"
"FKTN","FKTN/FCMD","2218"
"CLIC6","CLIC6","54102"
"IDE","IDE","3416"
"LAMB2","LAMB2","3913"
"CLCN2","CLCN2","1181"
"ATG12","ATG12","9140"
"SON","SON","6651"
"TARDBP","TARDBP","23435"
"MEMO1P1","MEMO1P1/C21ORF19","728556"
"SUV39H1","SUV39H1","6839"
"RAC1","RAC1","5879"
"IGF1","IGF1","3479"
"GRIK4","GRIK4","2900"
"RAB5A","RAB5A","5868"
"TFE3","TFE3","7030"
"CAPN2","CAPN2","824"
"GDNF","GDNF","2668"
"RAP1B","RAP1B","5908"
"TAF10","TAF10/TBPAF","6881"
"SYNJ1","SYNJ1","8867"
"MARCKS","MARCKS","4082"
"GSK3B","GSK3B","2932"
"VAMP1","VAMP1","6843"
"MAPKAPK2","MAPKAPK2/MAPKAPK","9261"
"DIABLO","DIABLO/SMAC","56616"
"CACNA1A","CACNA1A","773"
"RELN","RELN","5649"
"SUV39H2","SUV39H2","79723"
"CDKN2A","CDKN2a","1029"
"CDKN1A","CDKN1a","1026"
"PPP1CB","PPP1CB","5500"
"MTOR","MTOR/FRAP1","2475"
"RBM11","RBM11","54033"
"SYNGR1","SYNGR1","9145"
"HSF1","HSF1","3297"
"PPT2","PPT2","9374"
"CAPN1","CAPN1","823"
"PRKAA1","PRKAA1","5562"
"CDKN1B","CDKN1b","1027"
"GRIK2","GRIK2","2898"
"PPP2CA","PPP2CA","5515"
"DNAJA3","DNAJA3","9093"
"CTSB","CTSB","1508"
"ADAM9","ADAM9","8754"
"RAB27A","RAB27A","5873"
"LAMP2","LAMP2","3920"
"CTSD","CTSD","1509"
"CCNG1","CCNG1","900"
"FADD","FADD","8772"
"HSPA9","HSPA9","3313"
"SP1","SP1","6667"
"HSPE1","HSPE1","3336"
"CDK5","CDK5","1020"
"CCNF","CCNF","899"
"DNAJC5","DNAJC5","80331"
"TOMM40","TOMM40","10452"
"CHRNA7","CHRNA7","1139"
