fromNode	toNode	weight	direction	fromAltName	toAltName
AQP1	GNG2	0.00439954217219748	undirected	NA	NA
C21ORF62	ERG	0.18549418406682	undirected	NA	NA
C21ORF62	N6AMT1/C21ORF127	0.267290152636231	undirected	NA	NA
C21ORF62	MX2	0.223370897116654	undirected	NA	NA
C21ORF62	TPTE	0.249342355592842	undirected	NA	NA
C21ORF62	TRAPPC10/TMEM1	0.197340804103119	undirected	NA	NA
C21ORF62	CSNK1A1	0.132408280940757	undirected	NA	NA
C21ORF62	IFNGR2	0.213539867414403	undirected	NA	NA
C21ORF62	SNRNP70	0.169134747295703	undirected	NA	NA
C21ORF62	GNAT2	0.119382657102405	undirected	NA	NA
C21ORF62	GNAZ	0.108335357093246	undirected	NA	NA
C21ORF62	GNG2	0.0184958731165857	undirected	NA	NA
ERG	N6AMT1/C21ORF127	0.239527063293798	undirected	NA	NA
ERG	MX2	0.244736684621169	undirected	NA	NA
ERG	TPTE	0.096013719524178	undirected	NA	NA
ERG	TRAPPC10/TMEM1	0.0666555577937807	undirected	NA	NA
ERG	CSNK1A1	0.0558690729595517	undirected	NA	NA
ERG	IFNGR2	0.0960847837913938	undirected	NA	NA
ERG	SNRNP70	0.157711024950456	undirected	NA	NA
ERG	GNAT2	0.0920865637076765	undirected	NA	NA
ERG	GNAZ	0.0873962146930712	undirected	NA	NA
ERG	GNG2	0.00642752020961378	undirected	NA	NA
N6AMT1/C21ORF127	MX2	0.293860156259551	undirected	NA	NA
N6AMT1/C21ORF127	TPTE	0.225589780031474	undirected	NA	NA
N6AMT1/C21ORF127	TRAPPC10/TMEM1	0.17246438658118	undirected	NA	NA
N6AMT1/C21ORF127	CSNK1A1	0.140932278751125	undirected	NA	NA
N6AMT1/C21ORF127	IFNGR2	0.17461144725331	undirected	NA	NA
N6AMT1/C21ORF127	SNRNP70	0.19820396247982	undirected	NA	NA
N6AMT1/C21ORF127	GNAT2	0.175274559111445	undirected	NA	NA
N6AMT1/C21ORF127	GNAZ	0.128532927376354	undirected	NA	NA
N6AMT1/C21ORF127	GNG2	0.0189861194478112	undirected	NA	NA
MX2	TPTE	0.108547246551052	undirected	NA	NA
MX2	TRAPPC10/TMEM1	0.0744756276217849	undirected	NA	NA
MX2	CSNK1A1	0.066047904688182	undirected	NA	NA
MX2	IFNGR2	0.103556371508709	undirected	NA	NA
MX2	SNRNP70	0.150481570146057	undirected	NA	NA
MX2	GNAT2	0.123449650324935	undirected	NA	NA
MX2	GNAZ	0.0765910810478942	undirected	NA	NA
MX2	GNG2	0.0069419454962015	undirected	NA	NA
TPTE	TRAPPC10/TMEM1	0.24002520786894	undirected	NA	NA
TPTE	CSNK1A1	0.137382648197366	undirected	NA	NA
TPTE	IFNGR2	0.299957751119382	undirected	NA	NA
TPTE	SNRNP70	0.133202679848211	undirected	NA	NA
TPTE	GNAT2	0.0672260461924699	undirected	NA	NA
TPTE	GNAZ	0.0958439560122503	undirected	NA	NA
TPTE	GNG2	0.0194582002745384	undirected	NA	NA
TRAPPC10/TMEM1	CSNK1A1	0.139275251495464	undirected	NA	NA
TRAPPC10/TMEM1	IFNGR2	0.259522630531667	undirected	NA	NA
TRAPPC10/TMEM1	SNRNP70	0.111105513726959	undirected	NA	NA
TRAPPC10/TMEM1	GNAT2	0.0548577319359449	undirected	NA	NA
TRAPPC10/TMEM1	GNAZ	0.0920713905645853	undirected	NA	NA
TRAPPC10/TMEM1	GNG2	0.0226993556381058	undirected	NA	NA
CSNK1A1	IFNGR2	0.142491273771096	undirected	NA	NA
CSNK1A1	SNRNP70	0.0906927114754584	undirected	NA	NA
